Algoritmo;TamMatriz;Hilos;Repeticion;Tiempo_microsegundos;;;;;;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos
mmClasicaFork;2;8;7;1297;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;8;1193;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;9;1047;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;10;1113;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;11;1955;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;12;933;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;13;1543;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;14;2478;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;15;1250;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;16;1552;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;17;942;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;18;1010;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;19;997;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;20;843;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;21;1027;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;22;1192;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;23;1046;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;24;1364;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;25;1080;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;26;1289;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;27;982;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;28;949;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;29;900;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;2;8;30;1499;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;1;312;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;2;279;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;3;298;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;4;252;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;5;345;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;6;651;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;7;260;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;8;295;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;9;287;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;10;350;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;11;278;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;12;309;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;13;355;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;14;296;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;15;288;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;16;325;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;17;277;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;18;258;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;19;238;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;20;299;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;21;260;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;22;307;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;23;376;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;24;298;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;25;315;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;26;286;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;27;322;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;28;281;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;29;291;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;1;30;318;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;1;424;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;2;409;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;3;842;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;4;362;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;5;364;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;6;336;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;7;359;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;8;333;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;9;508;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;10;319;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;11;391;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;12;395;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;13;350;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;14;374;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;15;328;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;16;408;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;17;433;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;18;498;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;19;446;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;20;359;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;21;374;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;22;356;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;23;348;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;24;494;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;25;337;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;26;377;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;27;373;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;28;464;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;29;419;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;2;30;366;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;1;641;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;2;509;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;3;564;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;4;514;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;5;526;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;6;662;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;7;539;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;8;594;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;9;675;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;10;613;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;11;575;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;12;661;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;13;1133;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;14;671;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;15;504;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;16;516;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;17;616;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;18;562;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;19;507;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;20;1738;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;21;691;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;22;595;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;23;495;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;24;742;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;25;496;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;26;611;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;27;669;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;28;587;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;29;461;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;4;30;713;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;1;997;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;2;1147;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;3;1670;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;4;1140;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;5;1207;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;6;1836;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;7;1196;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;8;1250;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;9;1232;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;10;1540;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;11;1334;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;12;1259;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;13;1154;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;14;1180;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;15;1317;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;16;1354;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;17;1285;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;18;1957;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;19;1175;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;20;1489;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;21;1572;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;22;1165;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;23;1322;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;24;1020;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;25;1026;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;26;1186;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;27;905;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;28;1046;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;29;1002;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;3;8;30;2586;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;1;556;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;2;254;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;3;334;;;;;;;;;;;;;;;;;;;;;;;;;;
mmClasicaFork;5;1;4;371;;;;;;;;;;;;;;;;;;;;;;;;;;
