Algoritmo;TamMatriz;Hilos;Repeticion;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;;;Algoritmo;TamMatriz;Hilos;Tiempo_microsegundos;
mmClasicaOpenMP;3;2;29;113;;;;;;;;;;;;;
mmClasicaOpenMP;3;2;30;76;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;1;115;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;2;332;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;3;127;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;4;457;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;5;125;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;6;149;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;7;2972;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;8;359;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;9;4181;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;10;335;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;11;108;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;12;3236;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;13;413;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;14;159;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;15;117;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;16;1150;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;17;1690;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;18;141;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;19;121;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;20;236;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;21;872;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;22;125;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;23;254;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;24;160;;;;;;;;;;;;;
mmClasicaOpenMP;3;4;25;133;;;;;;;;;;;;;
